ID,Case Name,Filing Year,Description,Case Categories,Principal Laws
339,Center for Biological Diversity v. California Department of Fish and Wildlife,2011,"Challenge to 12,000-acre development in northwestern Los Angeles County.
",State Law Claims>Environmentalist Lawsuits|State Law Claims>State Impact Assessment Laws,Center for Biological Diversity v. California Department of Fish and Wildlife
349,"Owner-Operator Independent Drivers Association, Inc. v. EPA",2014,"Challenge to EPA waiver of Clean Air Act preemption of California’s greenhouse gas regulations for certain heavy-duty tractor-trailer trucks.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,"Owner-Operator Independent Drivers Association, Inc. v. EPA"
354,Hickenlooper v. Coffman,2015,Petition by Colorado governor for declaration that attorney general did not have authority to sue the federal government on behalf of the State.,State Law Claims>Environmentalist Lawsuits|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Clean Power Plan,Hickenlooper v. Coffman
374,"Catskill Mountainkeeper, Inc. v. Federal Energy Regulatory Commission",2016,"Challenge to FERC orders authorizing the Constitution Pipeline Project, a natural gas transmission line that would travel through Pennsylvania and New York.",Federal Statutory Claims>NEPA,"Catskill Mountainkeeper, Inc. v. Federal Energy Regulatory Commission"
377,DJL Farm LLC v. EPA,2015,Challenges to Safe Drinking Water Act permits for injection wells for carbon dioxide storage for FutureGen project.,Federal Statutory Claims>Other Statutes and Regulations,DJL Farm LLC v. EPA
380,American Petroleum Institute v. EPA,2012,"Challenge to EPA rule that maintains existing greenhouse gas emissions permitting thresholds.
",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Tailoring Rule,American Petroleum Institute v. EPA
383,"Agriculture, Business &amp; Labor Educational Coalition of San Luis Obispo County v. County of San Luis Obispo",2009,Challenge to negative declaration in connection with smart growth amendments to land use regulations.,State Law Claims>State Impact Assessment Laws,"Agriculture, Business &amp; Labor Educational Coalition of San Luis Obispo County v. County of San Luis Obispo"
388,Center for Biological Diversity v. Kempthorne,2007,Challenge to DOI’s listing of polar bears as threatened.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Kempthorne
398,Competitive Enterprise Institute v. Office of Science and Technology Policy,2014,Lawsuit seeking documents related to video that connected 2014 polar vortex to climate change,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests|Climate Change Protesters and Scientists>Scientists,Competitive Enterprise Institute v. Office of Science and Technology Policy
407,"Accokeek, Mattawoman, Piscataway Creeks Communities Council, Inc. v. Maryland Public Service Commission",2014,Challenge to approval of power plant for Dominion Cove Point natural gas liquefaction facility.,State Law Claims>Environmentalist Lawsuits,"Accokeek, Mattawoman, Piscataway Creeks Communities Council, Inc. v. Maryland Public Service Commission"
411,State v. Brockway,2014,Prosecution of protesters who blocked a rail yard in Washington state to draw attention to climate change and the risks of coal and oil trains.,Climate Change Protesters and Scientists>Protesters,State v. Brockway
414,"A Piece of Paradise, LLC v. Borough of Fenwick Zoning Board of Appeals",2013,Challenge to denial of approvals necessary for development of single-family home on Connecticut coast.,Adaptation>Challenges to adaptation measures,"A Piece of Paradise, LLC v. Borough of Fenwick Zoning Board of Appeals"
419,NRDC v. Kempthorne,2005,Challenge to agency’s biological opinion “no jeopardy” finding concerning Delta smelt.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,NRDC v. Kempthorne
435,Western Watersheds Project v. Schneider,2016,Challenge to Forest Service and BLM approvals of revised land use plans for lands located in range of greater sage-grouse.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Western Watersheds Project v. Schneider
439,"Benton v. Global Companies, LLC",2016,Citizen suit challenging petroleum product transloading facility's compliance with the Clean Air Act.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"Benton v. Global Companies, LLC"
458,San Luis &amp; Delta-Mendota Water Authority v. Salazar,2009,Challenged biological opinion by Fish and Wildlife Service to protect delta smelt.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,San Luis &amp; Delta-Mendota Water Authority v. Salazar
473,Civil Society Institute Inc. v. U.S. Department of Energy,2011,Challenge to Dept. of Energy’s refusal to release report concerning water resources.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Civil Society Institute Inc. v. U.S. Department of Energy
477,NRDC v. Wright-Patterson Air Force Base,2010,FOIA request concerning coal-to-liquid facility.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,NRDC v. Wright-Patterson Air Force Base
483,Competitive Enterprise Institute v. EPA,2012,"Action seeking nonpublic emails from EPA officials concerning its “campaign against coal-fired power.”
",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Competitive Enterprise Institute v. EPA
486,Competitive Enterprise Institute v. U.S. Treasury,2012,Sought emails from U.S. Treasury concerning the proposal of a carbon tax.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Competitive Enterprise Institute v. U.S. Treasury
489,Competitive Enterprise Institute v. EPA,2013,Action seeking production of instant message communications to and from EPA officials.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Competitive Enterprise Institute v. EPA
492,Mississippi Power Co. v. Mississippi Public Service Commission,2013,Action seeking disclosure of documents concerning economic impact of GHG emissions regulation.,State Law Claims>Industry Lawsuits,Mississippi Power Co. v. Mississippi Public Service Commission
498,Landmark Legal Foundation v. EPA,2012,"Action to compel EPA to respond to request for documents relating to environmental regulations that plaintiff believed were improperly delayed for political reasons.
",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Landmark Legal Foundation v. EPA
501,Citizens for Responsibility and Ethics in Washington v. EPA,2014,Challenge to EPA’s failures to disclose records relating to the 2014 proposed Renewable Fuel Standards.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Citizens for Responsibility and Ethics in Washington v. EPA
505,Competitive Enterprise Institute v. U.S. National Security Agency,2014,"Action seeking production of metadata for personal e-mail, text messaging, and phone accounts of EPA administrators.",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Competitive Enterprise Institute v. U.S. National Security Agency
508,Energy &amp; Environment Legal Institute v. United States Securities &amp; Exchange Commission,2015,Action to compel the SEC to disclose records of communications with investor-activist group Ceres and the New York Attorney General.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Energy &amp; Environment Legal Institute v. United States Securities &amp; Exchange Commission
511,Competitive Enterprise Institute v. EPA,2015,Action seeking production of correspondence between EPA and members of Congress regarding legislators’ inquiries into funding for climate research.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Competitive Enterprise Institute v. EPA
523,Sierra Club v. U.S. Defense Energy Support Center,2010,Challenge to U.S. military purchasing fuels derived from Canadian oil sands.,Federal Statutory Claims>Other Statutes and Regulations,Sierra Club v. U.S. Defense Energy Support Center
525,National Wildlife Federation v. EPA,2011,Challenge to denial of petition to set criteria for renewable fuels.,Federal Statutory Claims>Other Statutes and Regulations,National Wildlife Federation v. EPA
527,Californians for Renewable Energy v. Department of Energy,2011,Challenge to DOE’s failure to promulgate regulations for loan guarantees for renewable energy.,Federal Statutory Claims>Other Statutes and Regulations,Californians for Renewable Energy v. Department of Energy
530,Animal Welfare Institute v. Beech Ridge Energy LLC,2009,Challenge to wind energy project on grounds that it will threatened endangered Indiana bats.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Animal Welfare Institute v. Beech Ridge Energy LLC
531,South Yuba River Citizens League v. National Marine Fisheries Service,2006,Challenge to biological opinion concerning water diversions on Yuba River.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,South Yuba River Citizens League v. National Marine Fisheries Service
548,Pacific Coast Federation of Fishermen’s Associations v. Gutierrez,2006,Challenge to federal agency’s 2004 biological opinion on the effects of two California water projects on endangered salmon and steelhead.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Pacific Coast Federation of Fishermen’s Associations v. Gutierrez
549,Center for Biological Diversity v. Brennan,2006,Action to enforce provisions of Global Change Research Act requiring preparation of scientific assessment of global climate change research and development of National Global Change Research Plan. ,Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. Brennan
553,Citizens for Responsibility and Ethics in Washington v. CEQ,2007,Challenge to CEQ’s failure to disclose documents related to climate change.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Citizens for Responsibility and Ethics in Washington v. CEQ
556,Center for Biological Diversity v. Office of Management and Budget,2007,"Sought documents and fee waiver concerning rulemaking for fuel economy standards for light trucks, which complaint alleged made up eight percent of annual U.S. greenhouse gas emissions.",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Center for Biological Diversity v. Office of Management and Budget
559,United States v. Sholtz,2005,Proceedings seeking access to judicial records concerning alleged fraudulent pollution credit trading scheme in California.,Constitutional Claims>First Amendment,United States v. Sholtz
561,Judicial Watch v. U.S. Department of Energy,2010,Request for documents related to White House “climate czar” Carol Browner’s role in U.S. climate policy.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Industry Interests,Judicial Watch v. U.S. Department of Energy
564,Center for Biological Diversity v. Abraham,2002,Sought to enforce Energy Policy Act of 1992 provisions on alternative fuel vehicles.,Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. Abraham
567,New York v. U.S. Department of Energy,2008,Sought review of federal program concerning energy conservation standards for furnaces and boilers.,Federal Statutory Claims>Other Statutes and Regulations,New York v. U.S. Department of Energy
571,California v. Department of Energy,2007,Sought to force government to adopt stronger energy efficiency standards for energy transformers.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,California v. Department of Energy
573,Center for Biological Diversity v. National Highway Traffic Safety Administration,2009,Challege to NHTSA's proposed CAFE standards.,Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. National Highway Traffic Safety Administration
576,Friends of the Earth v. EPA,2010,Challenge to renewable fuels standard.,Federal Statutory Claims>Other Statutes and Regulations,Friends of the Earth v. EPA
580,Alaska Oil &amp; Gas Association v. Jewell,2011,Challenge to designation of polar bear critical habitat.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Alaska Oil &amp; Gas Association v. Jewell
581,"Shell Offshore Inc. v. Greenpeace, Inc.",2015,"Oil company filed suit seeking to bar environmental activists from interfering with its Arctic drilling operations.
",Climate Change Protesters and Scientists>Protesters,"Shell Offshore Inc. v. Greenpeace, Inc."
584,Alaska Oil &amp; Gas Association v. Ross,2014,"Challenge to designation of Arctic subspecies of ringed seal as threatened.
",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Alaska Oil &amp; Gas Association v. Ross
609,Center for Food Safety v. Jewell,2016,Action to compel response to petition to list monarch butterfly as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Food Safety v. Jewell
615,"Zero Zone, Inc. v. United States Department of Energy",2014,Challenge to energy efficiency standards for commercial refrigeration equipment and related test procedure.,Federal Statutory Claims>Other Statutes and Regulations,"Zero Zone, Inc. v. United States Department of Energy"
636,Massachusetts v. EPA,2003,Challenge to decision by EPA not to regulate GHGs from mobile sources under the Clean Air Act.,Federal Statutory Claims>Clean Air Act,Massachusetts v. EPA
655,Pacific Merchant Shipping Association v. Goldstene,2007,Challenge to California Air Resources Board’s marine vessel rules.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>State and Municipal Vehicle Standards,Pacific Merchant Shipping Association v. Goldstene
664,New York v. EPA,2008,Challenge to EPA’s decision not to add greenhouse gas emissions to new source performance standards for petroleum refineries.,Federal Statutory Claims>Clean Air Act,New York v. EPA
677,California v. EPA,2008,Challenge to NHTSA’s regulations regarding CAFE standards on preemption grounds.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,California v. EPA
711,Sierra Club v. EPA,2009,Lawsuit seeking to force EPA to reconsider performance standards for coal preparation and processing facilities.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Sierra Club v. EPA
713,Center for Biological Diversity v. EPA,2010,Challenge to schedule by which EPA plants to regulate greenhouse gas emissions from stationary sources.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Center for Biological Diversity v. EPA
719,Center for Biological Diversity v. EPA,2010,"Lawsuit seeking to force EPA to regulate greenhouse gas emissions from aircraft, ships, and non-road engines.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Center for Biological Diversity v. EPA
727,Pacific Merchant Shipping Association v. Goldstene,2009,Challenge to CARB’s rules requiring vessels traveling within 24 miles of coastline to switch to low-sulfur fuels.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits,Pacific Merchant Shipping Association v. Goldstene
736,Washington Environmental Council v. Bellon,2011,Lawsuit alleging that Washington State failed to implement provisions of the state’s state implementation plan relating to greenhouse gas emissions from oil refineries.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Washington Environmental Council v. Bellon
740,Communities for a Better Environment v. EPA,2011,Challenge to EPA decision not to set secondary NAAQS for carbon monoxide.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Communities for a Better Environment v. EPA
746,WildEarth Guardians v. EPA,2011,Action to compel EPA to respond to petition requesting that EPA list coal mines as a new stationary source category.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,WildEarth Guardians v. EPA
753,WildEarth Guardians v. EPA,2013,Petition for review of EPA denial of rulemaking petition asking that EPA list coal mines as new stationary source category.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,WildEarth Guardians v. EPA
755,Resisting Environmental Destruction on Indigenous Lands v. EPA,2012,Challenge to two permits issued by EPA to Shell for offshore Arctic drilling operations.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Resisting Environmental Destruction on Indigenous Lands v. EPA
779,Center for Biological Diversity v. EPA,2011,Challenge to EPA rule deferring regulation of biogenic carbon dioxide.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Center for Biological Diversity v. EPA
784,Humane Society of the United States v. McCarthy,2015,Action to compel EPA to respond to a 2009 petition to regulate concentrated animal feeding operations as sources of air pollution.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Humane Society of the United States v. McCarthy
830,Center for Biological Diversity v. EPA,2013,"Rulemaking petition and subsequent litigation requesting that EPA amend water quality criteria and publish guidance to address ocean acidification.
",Federal Statutory Claims>Clean Water Act,Center for Biological Diversity v. EPA
835,Natural Resources Defense Council  v. Mineta,2004,Challenge to decision by federal officials to extend special treatment of dual-fueled motor vehicles to not comply with CAFE standards.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Natural Resources Defense Council  v. Mineta
841,International Center for Technology Assessment v. Council on Environmental Quality,2014,Rulemaking petition and subsequent litigation requesting that CEQ amend regulations to explicitly require consideration of climate change in NEPA reviews.,Federal Statutory Claims>NEPA,International Center for Technology Assessment v. Council on Environmental Quality
847,Northwest Environmental Defense Center v. Owens Corning Corp.,2004,Challenge to construction of polystyrene foam insulation manufacturing facility on grounds that it did not get required preconstruction permit.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Northwest Environmental Defense Center v. Owens Corning Corp.
850,"Savoy Energy, LLC v. New Mexico Institute of Mining &amp; Technology",2010,Action alleging that university fraudulently backed out of carbon sequestration project.,Common Law Claims,"Savoy Energy, LLC v. New Mexico Institute of Mining &amp; Technology"
859,In re Pio Pico Energy Center LLC,2012,"Challenge to EPA permit for natural gas power plant for failing to consider cleaner generation technologies.
",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Pio Pico Energy Center LLC
869,"In re La Paloma Energy Center, LLC",2013,Challenge to gas-fired power plant in Texas.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"In re La Paloma Energy Center, LLC"
873,In re ExxonMobil Chemical Company Baytown Olefins Plant,2013,Challenge to EPA’s failure to adequately consider carbon capture and sequestration in PSD permitting decision.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re ExxonMobil Chemical Company Baytown Olefins Plant
880,Utility Reform Network v. Public Utilities Commission,2013,Challenge to approval by California PSC of utility’s application to purchase natural gas-fired plant.,State Law Claims>Utility Regulation,Utility Reform Network v. Public Utilities Commission
886,Massachusetts v. Whitman,2003,Challenge to EPA’s failure to list carbon dioxide as a pollutant under the Clean Air Act.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Massachusetts v. Whitman
889,New York v. EPA,2006,Challenge to EPA’s decision declining to regulate GHG emissions from power plants and steam generating units.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,New York v. EPA
909,California v. EPA,2008,Challenge to EPA's denial of California's request for a waiver of preemption for greenhouse gas emission standards for passenger vehicles.,Federal Statutory Claims>Clean Air Act,California v. EPA
931,"South Dearborn Environmental Improvement Association, Inc. v. Michigan Department of Environmental Quality",2014,Challenge to air permits for Michigan steel plant.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|State Law Claims>Environmentalist Lawsuits,"South Dearborn Environmental Improvement Association, Inc. v. Michigan Department of Environmental Quality"
934,In re Archer Daniels Midland Co.,2014,Challenge to underground injection control permit for carbon sequestration.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Other Statutes and Regulations,In re Archer Daniels Midland Co.
938,"In re Footprint Power Salem Harbor Development, LP",2014,Challenge to Clean Air Act permit for natural gas-fired power plant in Massachusetts.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"In re Footprint Power Salem Harbor Development, LP"
953,City of Los Angeles v. National Highway Traffic Safety Administration,1986,Challenge to decision not to prepare environmental impact statement for CAFE standards for model years 1987-1989.,Federal Statutory Claims>NEPA,City of Los Angeles v. National Highway Traffic Safety Administration
956,Foundation on Economic Trends v. Watkins,1989,Challenged actions approved by agencies that did not take into account effects on climate change.,Federal Statutory Claims>NEPA,Foundation on Economic Trends v. Watkins
959,Seattle Audubon Society V. Lyons,1992,Challenge to supplemental environmental impact statement prepared in connection with forest management plan.,Federal Statutory Claims>NEPA,Seattle Audubon Society V. Lyons
962,"Association of Public Agency Customers, Inc. v. Bonneville Power Administration",1995,Challenge to environmental impact statement prepared by power company when it decided to become market competitor in energy market.,Federal Statutory Claims>NEPA,"Association of Public Agency Customers, Inc. v. Bonneville Power Administration"
968,Border Power Plant Working Group v. Dept. of Energy,2002,Challenge to U.S. Department of Energy's FONSI regarding U.S.-Mexico power line.,Federal Statutory Claims>NEPA,Border Power Plant Working Group v. Dept. of Energy
971,Mid States Coalition for Progress v. Surface Transportation Board,2002,Challenge to STB’s approval of 280 miles of rail lines to reach coal mines and upgrade of 600 miles of existing line.,Federal Statutory Claims>NEPA,Mid States Coalition for Progress v. Surface Transportation Board
977,"Friends of the Earth, Inc. v. Spinelli",2002,Challenge to government agencies' financial support for international fossil fuel projects; sought preparation of environmental assessment or environmental impact statement.,Federal Statutory Claims>NEPA,"Friends of the Earth, Inc. v. Spinelli"
981,National Audubon Society v. Kempthorne,2005,Challenge to U.S. Bureau of Land Management's environmental impact statement that served as basis for opening land to oil and gas development.,Federal Statutory Claims>NEPA,National Audubon Society v. Kempthorne
984,Northwest Environmental Advocates v. National Marine Fisheries Service,2004,Challenge to adequacy of environmental impact statement prepared in connection with project to dredge and deepen Columbia River navigation channel.,Federal Statutory Claims>NEPA,Northwest Environmental Advocates v. National Marine Fisheries Service
993,Mayo Found. v. Surface Transportation Board,2006,Challenge to STB’s approval of 280 new miles of rail lines to reach coal mines and upgrade of 600 miles of existing lines.  ,Federal Statutory Claims>NEPA,Mayo Found. v. Surface Transportation Board
997,Izaak Walton League of America v. Kimbell,2006,Challenge to decision by Forest Service to build snowmobile trail along a road adjacent to Boundary Waters wilderness area.,Federal Statutory Claims>NEPA,Izaak Walton League of America v. Kimbell
1001,"Audubon Naturalist Society of the Central Atlantic States, Inc. v. Department of Transportation",2006,Challenge to final EIS for transportation project.,Federal Statutory Claims>NEPA,"Audubon Naturalist Society of the Central Atlantic States, Inc. v. Department of Transportation"
